Order_ID,Order_Date,Customer_Name,Product,City,Revenue
1048,2025-02-18,Manoj,Power Bank,Kolkata,5300
1049,2025-02-19,Ritu,Laptop,Chennai,54000
1050,2025-02-20,Deepak,Mobile,Bangalore,33000
1051,2025-02-21,Asha,Tablet,Hyderabad,27000
1052,2025-02-22,Ramesh,Keyboard,Mumbai,3400
1053,2025-02-23,Kavya,Mouse,Delhi,3600
1054,2025-02-24,Varun,Laptop,Kolkata,62000
1055,2025-02-25,Neha,Mobile,Chennai,30000
1056,2025-02-26,Sanjay,Charger,Bangalore,2400
1057,2025-02-27,Tina,Headphones,Hyderabad,7800
1058,2025-02-28,Arvind,Tablet,Mumbai,25000
1059,2025-03-01,Priya,Smartwatch,Delhi,19000
1060,2025-03-02,Karthik,Power Bank,Kolkata,5000
1061,2025-03-03,Arun,Laptop,Chennai,55000
1062,2025-03-04,Divya,Mobile,Bangalore,34000
1063,2025-03-05,Ravi,Tablet,Hyderabad,26000
1064,2025-03-06,Priya,Headphones,Mumbai,8000
1065,2025-03-07,Karthik,Keyboard,Delhi,3500
1066,2025-03-08,Meena,Mouse,Kolkata,3700
1067,2025-03-09,Suresh,Charger,Chennai,2600
1068,2025-03-10,Anitha,Smartwatch,Bangalore,20000
1069,2025-03-11,John,Power Bank,Hyderabad,5500
1070,2025-03-12,Lakshmi,Laptop,Mumbai,61000
1071,2025-03-13,Vikram,Mobile,Delhi,35000
1072,2025-03-14,Nisha,Tablet,Kolkata,27500
1073,2025-03-15,Ajay,Headphones,Chennai,8200
1074,2025-03-16,Sneha,Keyboard,Bangalore,3900
1075,2025-03-17,Rahul,Mouse,Hyderabad,4200
1076,2025-03-18,Kiran,Charger,Mumbai,2700
1077,2025-03-19,Pooja,Smartwatch,Delhi,21000
1078,2025-03-20,Manoj,Power Bank,Kolkata,5800
1079,2025-03-21,Ritu,Laptop,Chennai,56000
1080,2025-03-22,Deepak,Mobile,Bangalore,36000
1081,2025-03-23,Asha,Tablet,Hyderabad,28000
1082,2025-03-24,Ramesh,Keyboard,Mumbai,3600
1083,2025-03-25,Kavya,Mouse,Delhi,3800
1084,2025-03-26,Varun,Laptop,Kolkata,63000
1085,2025-03-27,Neha,Mobile,Chennai,31000
1086,2025-03-28,Sanjay,Charger,Bangalore,2600
1087,2025-03-29,Tina,Headphones,Hyderabad,8500
1088,2025-03-30,Arvind,Tablet,Mumbai,27000
1089,2025-03-31,Priya,Smartwatch,Delhi,22000
1090,2025-04-01,Karthik,Power Bank,Kolkata,6000
1091,2025-04-02,Arun,Laptop,Chennai,58000
1092,2025-04-03,Divya,Mobile,Bangalore,37000
1093,2025-04-04,Ravi,Tablet,Hyderabad,29000
1094,2025-04-05,Priya,Headphones,Mumbai,9000
1095,2025-04-06,Karthik,Keyboard,Delhi,4000
1096,2025-04-07,Meena,Mouse,Kolkata,4000
1097,2025-04-08,Suresh,Charger,Chennai,2800
1098,2025-04-09,Anitha,Smartwatch,Bangalore,23000
1099,2025-04-10,John,Power Bank,Hyderabad,6500
1100,2025-04-11,Lakshmi,Laptop,Mumbai,65000
1101,2025-04-12,Vikram,Mobile,Delhi,38000
1102,2025-04-13,Nisha,Tablet,Kolkata,30000
1103,2025-04-14,Ajay,Headphones,Chennai,9500
1104,2025-04-15,Sneha,Keyboard,Bangalore,4200
1105,2025-04-16,Rahul,Mouse,Hyderabad,4500
1106,2025-04-17,Kiran,Charger,Mumbai,3000
1107,2025-04-18,Pooja,Smartwatch,Delhi,24000
1108,2025-04-19,Manoj,Power Bank,Kolkata,7000
1109,2025-04-20,Ritu,Laptop,Chennai,60000
1110,2025-04-21,Deepak,Mobile,Bangalore,40000
1111,2025-04-22,Asha,Tablet,Hyderabad,31000
1112,2025-04-23,Ramesh,Keyboard,Mumbai,4500
1113,2025-04-24,Kavya,Mouse,Delhi,4800
1114,2025-04-25,Varun,Laptop,Kolkata,66000
1115,2025-04-26,Neha,Mobile,Chennai,33000
1116,2025-04-27,Sanjay,Charger,Bangalore,3000
1117,2025-04-28,Tina,Headphones,Hyderabad,9800
1118,2025-04-29,Arvind,Tablet,Mumbai,30000
1119,2025-04-30,Priya,Smartwatch,Delhi,26000
1120,2025-05-01,Karthik,Power Bank,Kolkata,7500
1121,2025-05-02,Arun,Laptop,Chennai,62000
1122,2025-05-03,Divya,Mobile,Bangalore,42000
1123,2025-05-04,Ravi,Tablet,Hyderabad,32000
1124,2025-05-05,Priya,Headphones,Mumbai,10500
1125,2025-05-06,Karthik,Keyboard,Delhi,4600
1126,2025-05-07,Meena,Mouse,Kolkata,5000
1127,2025-05-08,Suresh,Charger,Chennai,3200
1128,2025-05-09,Anitha,Smartwatch,Bangalore,27000
1129,2025-05-10,John,Power Bank,Hyderabad,7800
1130,2025-05-11,Lakshmi,Laptop,Mumbai,70000
1131,2025-05-12,Vikram,Mobile,Delhi,45000
1132,2025-05-13,Nisha,Tablet,Kolkata,34000
1133,2025-05-14,Ajay,Headphones,Chennai,11000
1134,2025-05-15,Sneha,Keyboard,Bangalore,4800
1135,2025-05-16,Rahul,Mouse,Hyderabad,5200
1136,2025-05-17,Kiran,Charger,Mumbai,3400
1137,2025-05-18,Pooja,Smartwatch,Delhi,30000
1138,2025-05-19,Manoj,Power Bank,Kolkata,8200
1139,2025-05-20,Ritu,Laptop,Chennai,65000
1140,2025-05-21,Deepak,Mobile,Bangalore,47000
1141,2025-05-22,Asha,Tablet,Hyderabad,35000
1142,2025-05-23,Ramesh,Keyboard,Mumbai,5000
1143,2025-05-24,Kavya,Mouse,Delhi,5500
1144,2025-05-25,Varun,Laptop,Kolkata,72000
1145,2025-05-26,Neha,Mobile,Chennai,36000
1146,2025-05-27,Sanjay,Charger,Bangalore,3600
1147,2025-05-28,Tina,Headphones,Hyderabad,12000
1148,2025-05-29,Arvind,Tablet,Mumbai,35000
1149,2025-05-30,Priya,Smartwatch,Delhi,32000
1150,2025-05-31,Karthik,Power Bank,Kolkata,9000
1151,2025-06-01,Arun,Laptop,Chennai,68000
1152,2025-06-02,Divya,Mobile,Bangalore,48000
1153,2025-06-03,Ravi,Tablet,Hyderabad,37000
1154,2025-06-04,Priya,Headphones,Mumbai,12500
1155,2025-06-05,Karthik,Keyboard,Delhi,5200
1156,2025-06-06,Meena,Mouse,Kolkata,5800
1157,2025-06-07,Suresh,Charger,Chennai,3800
1158,2025-06-08,Anitha,Smartwatch,Bangalore,35000
1159,2025-06-09,John,Power Bank,Hyderabad,9500
1160,2025-06-10,Lakshmi,Laptop,Mumbai,75000
1161,2025-06-11,Vikram,Mobile,Delhi,50000
1162,2025-06-12,Nisha,Tablet,Kolkata,39000
1163,2025-06-13,Ajay,Headphones,Chennai,14000
1164,2025-06-14,Sneha,Keyboard,Bangalore,5500
1165,2025-06-15,Rahul,Mouse,Hyderabad,6000
1166,2025-06-16,Kiran,Charger,Mumbai,4000
1167,2025-06-17,Pooja,Smartwatch,Delhi,38000
1168,2025-06-18,Manoj,Power Bank,Kolkata,10000
1169,2025-06-19,Ritu,Laptop,Chennai,70000
1170,2025-06-20,Deepak,Mobile,Bangalore,52000
1171,2025-06-21,Asha,Tablet,Hyderabad,40000
1172,2025-06-22,Ramesh,Keyboard,Mumbai,6000
1173,2025-06-23,Kavya,Mouse,Delhi,6500
1174,2025-06-24,Varun,Laptop,Kolkata,78000
1175,2025-06-25,Neha,Mobile,Chennai,40000
1176,2025-06-26,Sanjay,Charger,Bangalore,4200
1177,2025-06-27,Tina,Headphones,Hyderabad,15000
1178,2025-06-28,Arvind,Tablet,Mumbai,40000
1179,2025-06-29,Priya,Smartwatch,Delhi,42000
1180,2025-06-30,Karthik,Power Bank,Kolkata,11000
1181,2025-07-01,Arun,Laptop,Chennai,72000
1182,2025-07-02,Divya,Mobile,Bangalore,55000
1183,2025-07-03,Ravi,Tablet,Hyderabad,42000
1184,2025-07-04,Priya,Headphones,Mumbai,16000
1185,2025-07-05,Karthik,Keyboard,Delhi,6500
1186,2025-07-06,Meena,Mouse,Kolkata,7000
1187,2025-07-07,Suresh,Charger,Chennai,4500
1188,2025-07-08,Anitha,Smartwatch,Bangalore,45000
1189,2025-07-09,John,Power Bank,Hyderabad,12000
1190,2025-07-10,Lakshmi,Laptop,Mumbai,80000
1191,2025-07-11,Vikram,Mobile,Delhi,60000
1192,2025-07-12,Nisha,Tablet,Kolkata,45000
1193,2025-07-13,Ajay,Headphones,Chennai,18000
1194,2025-07-14,Sneha,Keyboard,Bangalore,7000
1195,2025-07-15,Rahul,Mouse,Hyderabad,7500
1196,2025-07-16,Kiran,Charger,Mumbai,5000
1197,2025-07-17,Pooja,Smartwatch,Delhi,50000
1198,2025-07-18,Manoj,Power Bank,Kolkata,13000
1199,2025-07-19,Ritu,Laptop,Chennai,78000
1200,2025-07-20,Deepak,Mobile,Bangalore,65000
1201,2025-07-21,Asha,Tablet,Hyderabad,48000
1202,2025-07-22,Ramesh,Keyboard,Mumbai,7500
1203,2025-07-23,Kavya,Mouse,Delhi,8000
1204,2025-07-24,Varun,Laptop,Kolkata,82000
1205,2025-07-25,Neha,Mobile,Chennai,70000
1206,2025-07-26,Sanjay,Charger,Bangalore,5500
1207,2025-07-27,Tina,Headphones,Hyderabad,20000
1208,2025-07-28,Arvind,Tablet,Mumbai,50000
1209,2025-07-29,Priya,Smartwatch,Delhi,55000
1210,2025-07-30,Karthik,Power Bank,Kolkata,15000
1211,2025-07-31,Arun,Laptop,Chennai,85000
1212,2025-08-01,Divya,Mobile,Bangalore,75000
1213,2025-08-02,Ravi,Tablet,Hyderabad,52000
1214,2025-08-03,Priya,Headphones,Mumbai,22000
1215,2025-08-04,Karthik,Keyboard,Delhi,8500
1216,2025-08-05,Meena,Mouse,Kolkata,9000
1217,2025-08-06,Suresh,Charger,Chennai,6000
1218,2025-08-07,Anitha,Smartwatch,Bangalore,60000
1219,2025-08-08,John,Power Bank,Hyderabad,17000
1220,2025-08-09,Lakshmi,Laptop,Mumbai,90000
1221,2025-08-10,Vikram,Mobile,Delhi,80000
1222,2025-08-11,Nisha,Tablet,Kolkata,58000
1223,2025-08-12,Ajay,Headphones,Chennai,25000
1224,2025-08-13,Sneha,Keyboard,Bangalore,9000
1225,2025-08-14,Rahul,Mouse,Hyderabad,9500
1226,2025-08-15,Kiran,Charger,Mumbai,6500
1227,2025-08-16,Pooja,Smartwatch,Delhi,65000
1228,2025-08-17,Manoj,Power Bank,Kolkata,18000
1229,2025-08-18,Ritu,Laptop,Chennai,88000
1230,2025-08-19,Deepak,Mobile,Bangalore,82000
1231,2025-08-20,Asha,Tablet,Hyderabad,60000
1232,2025-08-21,Ramesh,Keyboard,Mumbai,9500
1233,2025-08-22,Kavya,Mouse,Delhi,10000
1234,2025-08-23,Varun,Laptop,Kolkata,95000
1235,2025-08-24,Neha,Mobile,Chennai,85000
1236,2025-08-25,Sanjay,Charger,Bangalore,7000
1237,2025-08-26,Tina,Headphones,Hyderabad,28000
1238,2025-08-27,Arvind,Tablet,Mumbai,65000
1239,2025-08-28,Priya,Smartwatch,Delhi,70000
1240,2025-08-29,Karthik,Power Bank,Kolkata,20000
1241,2025-08-30,Arun,Laptop,Chennai,95000
1242,2025-08-31,Divya,Mobile,Bangalore,90000
1243,2025-09-01,Ravi,Tablet,Hyderabad,65000
1244,2025-09-02,Priya,Headphones,Mumbai,30000
1245,2025-09-03,Karthik,Keyboard,Delhi,10000
1246,2025-09-04,Meena,Mouse,Kolkata,11000
1247,2025-09-05,Suresh,Charger,Chennai,7500
1248,2025-09-06,Anitha,Smartwatch,Bangalore,75000
1249,2025-09-07,John,Power Bank,Hyderabad,22000
1250,2025-09-08,Lakshmi,Laptop,Mumbai,10000
1251,2025-09-09,Vikram,Mobile,Delhi,95000
1252,2025-09-10,Nisha,Tablet,Kolkata,70000
1253,2025-09-11,Ajay,Headphones,Chennai,32000
1254,2025-09-12,Sneha,Keyboard,Bangalore,11000
1255,2025-09-13,Rahul,Mouse,Hyderabad,12000
1256,2025-09-14,Kiran,Charger,Mumbai,8000
1257,2025-09-15,Pooja,Smartwatch,Delhi,80000
1258,2025-09-16,Manoj,Power Bank,Kolkata,25000
1259,2025-09-17,Ritu,Laptop,Chennai,98000
1260,2025-09-18,Deepak,Mobile,Bangalore,97000
1261,2025-09-19,Asha,Tablet,Hyderabad,72000
1262,2025-09-20,Ramesh,Keyboard,Mumbai,12000
1263,2025-09-21,Kavya,Mouse,Delhi,13000
1264,2025-09-22,Varun,Laptop,Kolkata,105000
1265,2025-09-23,Neha,Mobile,Chennai,99000
1266,2025-09-24,Sanjay,Charger,Bangalore,8500
1267,2025-09-25,Tina,Headphones,Hyderabad,35000
1268,2025-09-26,Arvind,Tablet,Mumbai,75000
1269,2025-09-27,Priya,Smartwatch,Delhi,85000
1270,2025-09-28,Karthik,Power Bank,Kolkata,30000
1271,2025-09-29,Arun,Laptop,Chennai,102000
1272,2025-09-30,Divya,Mobile,Bangalore,100000
1273,2025-10-01,Ravi,Tablet,Hyderabad,80000
1274,2025-10-02,Priya,Headphones,Mumbai,40000
1275,2025-10-03,Karthik,Keyboard,Delhi,13000
1276,2025-10-04,Meena,Mouse,Kolkata,14000
1277,2025-10-05,Suresh,Charger,Chennai,9000
1278,2025-10-06,Anitha,Smartwatch,Bangalore,90000
1279,2025-10-07,John,Power Bank,Hyderabad,35000
1280,2025-10-08,Lakshmi,Laptop,Mumbai,110000
1281,2025-10-09,Vikram,Mobile,Delhi,105000
1282,2025-10-10,Nisha,Tablet,Kolkata,85000
1283,2025-10-11,Ajay,Headphones,Chennai,45000
1284,2025-10-12,Sneha,Keyboard,Bangalore,14000
1285,2025-10-13,Rahul,Mouse,Hyderabad,15000
1286,2025-10-14,Kiran,Charger,Mumbai,10000
1287,2025-10-15,Pooja,Smartwatch,Delhi,95000
1288,2025-10-16,Manoj,Power Bank,Kolkata,40000
1289,2025-10-17,Ritu,Laptop,Chennai,108000
1290,2025-10-18,Deepak,Mobile,Bangalore,110000
1291,2025-10-19,Asha,Tablet,Hyderabad,90000
1292,2025-10-20,Ramesh,Keyboard,Mumbai,15000
1293,2025-10-21,Kavya,Mouse,Delhi,16000
1294,2025-10-22,Varun,Laptop,Kolkata,115000
1295,2025-10-23,Neha,Mobile,Chennai,112000
1296,2025-10-24,Sanjay,Charger,Bangalore,11000
1297,2025-10-25,Tina,Headphones,Hyderabad,50000
1298,2025-10-26,Arvind,Tablet,Mumbai,90000
1299,2025-10-27,Priya,Smartwatch,Delhi,100000
1300,2025-10-28,Karthik,Power Bank,Kolkata,45000
